Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,16,420,18.8,.577,.000,.347,11.4,25.7,18.6,16.8,0.9,2.9,13.9,16.6,,0.8,0.6,1.4,.157,,-0.2,2.9,2.7,0.5
2,Bam Adebayo\adebaba01,C,22,MIA,19,609,20.2,.615,.036,.659,9.1,27.4,18.7,19.9,2.3,3.7,19.7,18.9,,1.2,1.3,2.5,.200,,0.2,5.3,5.5,1.1
3,LaMarcus Aldridge\aldrila01,C,34,SAS,20,656,20.8,.575,.105,.243,6.5,15.6,10.9,11.9,0.9,4.5,9.1,23.3,,1.3,0.3,1.7,.122,,1.0,0.0,1.0,0.5
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,16,230,7.4,.436,.545,.125,0.9,16.3,8.3,22.0,1.0,0.8,14.5,24.6,,-0.4,0.1,-0.3,-0.062,,-3.7,-2.9,-6.6,-0.3
5,Grayson Allen\allengr01,SG,24,MEM,9,157,5.7,.437,.516,.242,1.3,15.6,8.4,12.0,0.9,0.0,12.7,20.7,,-0.2,0.0,-0.2,-0.055,,-4.4,-3.1,-7.4,-0.2
6,Jarrett Allen\allenja01,C,21,BRK,20,529,21.5,.665,.007,.652,13.6,27.1,20.5,6.5,1.1,3.8,11.7,15.4,,1.6,0.8,2.4,.214,,0.6,1.8,2.4,0.6
7,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,8.0,.395,.419,.337,6.4,18.1,12.0,7.8,2.3,1.9,14.7,13.2,,-0.4,0.6,0.2,.031,,-4.7,2.7,-2.0,0.0
8,Kyle Anderson\anderky01,PF,26,MEM,17,348,14.3,.541,.172,.301,4.8,18.0,11.3,17.4,1.6,3.0,12.5,14.3,,0.4,0.3,0.7,.090,,-1.1,1.4,0.2,0.2
9,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.8,.357,.714,.000,0.0,50.8,25.7,20.3,3.3,0.0,12.5,23.2,,0.0,0.0,0.0,-0.021,,-6.6,2.1,-4.5,0.0
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,20,647,33.2,.607,.238,.540,8.6,31.1,20.3,32.9,2.1,3.8,13.7,37.4,,2.3,1.6,3.9,.290,,7.2,5.1,12.3,2.3
11,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,3,3.9,,,,0.0,35.8,18.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.079,,-9.6,-0.7,-10.4,0.0
12,Thanasis Antetokounmpo\antetth01,SF,27,MIL,3,13,8.1,.500,.000,.000,15.8,0.0,7.6,10.2,0.0,0.0,20.0,15.8,,0.0,0.0,0.0,.054,,-2.4,-2.5,-4.8,0.0
13,Carmelo Anthony\anthoca01,PF,35,POR,6,184,14.7,.543,.297,.165,3.4,16.3,9.9,11.1,1.0,0.5,11.8,25.1,,0.1,0.1,0.2,.055,,-1.0,-2.2,-3.2,-0.1
14,OG Anunoby\anunoog01,SF,22,TOR,18,541,14.4,.631,.443,.168,3.4,14.9,9.5,8.0,2.0,2.7,12.6,14.5,,0.7,1.0,1.7,.150,,0.8,3.0,3.8,0.8
15,Ryan Arcidiacono\arcidry01,PG,25,CHI,20,340,9.1,.552,.595,.257,2.9,7.7,5.2,15.2,1.5,0.3,12.7,11.5,,0.4,0.2,0.6,.084,,-1.4,-0.7,-2.1,0.0
16,Trevor Ariza\arizatr01,SF,34,SAC,11,227,6.9,.520,.762,.119,2.0,17.6,9.6,5.4,2.0,0.0,13.7,9.8,,0.0,0.2,0.2,.045,,-2.3,0.3,-2.0,0.0
17,D.J. Augustin\augusdj01,PG,32,ORL,19,484,11.7,.481,.385,.244,1.5,8.1,4.7,28.1,1.2,0.0,12.6,17.7,,0.2,0.4,0.7,.067,,-1.6,-1.9,-3.5,-0.2
