Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,16,16,26.3,4.3,7.4,.585,0.0,0.0,,4.3,7.4,.585,.585,1.2,2.6,.463,2.7,6.3,9.0,2.8,0.5,0.9,1.4,1.9,9.8
2,Bam Adebayo\adebaba01,C,22,MIA,19,19,32.1,5.1,8.8,.575,0.1,0.3,.167,5.0,8.5,.590,.578,3.8,5.8,.655,2.4,8.2,10.6,4.2,1.5,1.2,2.8,2.5,13.9
3,LaMarcus Aldridge\aldrila01,C,34,SAS,20,20,32.8,7.7,14.8,.517,0.6,1.6,.355,7.1,13.3,.536,.535,3.0,3.6,.833,2.1,4.7,6.7,2.5,0.7,1.8,1.7,2.2,18.9
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,16,0,14.4,2.3,7.0,.321,1.3,3.8,.344,0.9,3.2,.294,.415,0.6,0.9,.714,0.1,2.1,2.3,2.3,0.3,0.1,1.3,1.6,6.4
5,Grayson Allen\allengr01,SG,24,MEM,9,0,17.4,2.1,6.9,.306,1.0,3.6,.281,1.1,3.3,.333,.379,1.4,1.7,.867,0.2,2.6,2.8,1.6,0.3,0.0,1.1,1.8,6.7
6,Jarrett Allen\allenja01,C,21,BRK,20,17,26.5,4.5,6.8,.667,0.0,0.1,.000,4.5,6.7,.672,.667,2.6,4.4,.580,3.4,7.1,10.5,1.2,0.7,1.3,1.2,2.6,11.6
7,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
8,Kyle Anderson\anderky01,PF,26,MEM,17,0,20.5,2.8,5.5,.505,0.2,0.9,.250,2.5,4.5,.558,.527,0.9,1.6,.571,0.9,3.5,4.4,2.6,0.7,0.7,0.9,1.7,6.7
9,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,20,20,32.4,11.5,20.6,.560,1.4,4.9,.286,10.1,15.7,.645,.594,6.5,11.1,.586,2.7,10.7,13.4,5.9,1.5,1.4,4.1,3.3,30.9
